Date,Campaign,Audience,Creative_Family,Creative_Version,Platform,Ad_Format,Goal,Completions,Campaign_Traffic,Target_Group
2022-05-04,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),19.0,General traffic,NA
2022-05-04,NA,NA,NA,NA,NA,NA,Start Closing More,4.0,General traffic,NA
2022-05-05,NA,NA,NA,NA,NA,NA,Form Submission,2.0,General traffic,NA
2022-05-05,NA,NA,NA,NA,NA,NA,Get Approved,2.0,General traffic,NA
2022-05-05,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),2.0,General traffic,NA
2022-05-05,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),23.0,General traffic,NA
2022-05-05,NA,NA,NA,NA,NA,NA,Start Closing More,4.0,General traffic,NA
2022-05-06,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),20.0,General traffic,NA
2022-05-06,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-05-06,NA,NA,NA,NA,NA,NA,Start Closing More,5.0,General traffic,NA
2022-05-07,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-05-08,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-05-08,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1.0,General traffic,NA
2022-05-08,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-05-09,NA,NA,NA,NA,NA,NA,Get Approved,2.0,General traffic,NA
2022-05-09,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1.0,General traffic,NA
2022-05-09,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),28.0,General traffic,NA
2022-05-09,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-05-09,NA,NA,NA,NA,NA,NA,Start Closing More,4.0,General traffic,NA
2022-05-10,NA,NA,NA,NA,NA,NA,Get Approved,2.0,General traffic,NA
2022-05-10,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1.0,General traffic,NA
2022-05-10,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),25.0,General traffic,NA
2022-05-10,NA,NA,NA,NA,NA,NA,Start Closing More,5.0,General traffic,NA
2022-05-11,NA,NA,NA,NA,NA,NA,Get Approved,2.0,General traffic,NA
2022-05-11,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),3.0,General traffic,NA
