Campaign,Audience,Creative_Family,Creative_Version,Platform,Ad_Format,Goal,Completions,Campaign_Traffic,Days_Max_Date,Unnamed: 12,Goal.1
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),25,General traffic,13,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),24,General traffic,182,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),24,General traffic,173,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),24,General traffic,161,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),24,General traffic,147,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),24,General traffic,201,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),24,General traffic,194,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),24,General traffic,193,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),24,General traffic,185,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),24,General traffic,178,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),24,General traffic,164,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),24,General traffic,161,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),24,General traffic,179,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),24,General traffic,203,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),24,General traffic,126,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),24,General traffic,132,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),24,General traffic,118,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),24,General traffic,112,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),24,General traffic,67,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),24,General traffic,55,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),24,General traffic,53,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),24,General traffic,49,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),24,General traffic,13,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),24,General traffic,5,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),23,General traffic,188,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),23,General traffic,179,NA,NA
