Date,Audience,Creative_Family,Creative_Version,Platform,Ad_Format,Campaign_Traffic,Total_Sessions,Total_Bounces,Total_Duration
2022-06-23,4,CloseFaster,FasterAll,Domain Display,NA,Campaign,2,0,0.0
2022-05-08,1,CloserTwins,ShapeUp,Facebook,Video,Campaign,1,0,0.0
2022-05-05,5,CloserTwins,Faceoff1,LinkedIn,Video,Campaign,1,0,0.0
2022-06-24,6,Trade Media Ads,300x250,Trade Media,National_mortgage_news,Campaign,1,0,0.0
2022-06-22,1,CloserTwins,Cutdown1B,Facebook,Video,Campaign,1,0,0.0
2022-05-04,3,CloserTwins,Paperwork,Facebook,Video,Campaign,1,0,166.0
2022-06-26,4,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,2,0,0.0
2022-05-30,1,UnfairAdvantage,1099,Domain Display,Single image,Campaign,2,0,0.0
2022-09-02,1,UnfairAdvantage,1099,User ID Display,Single image,Campaign,2,0,0.0
2022-05-29,5,CloserTwins,Competitors,Domain Display,NA,Campaign,5,0,5.0
2022-05-23,5,CloserTwins,Faceoff1,LinkedIn,Video,Campaign,1,0,0.0
2022-05-18,5,CloserTwins,Faster,Domain Display,NA,Campaign,1,0,0.0
2022-05-23,5,UnfairAdvantage,OnePage,Domain Display,NA,Campaign,1,0,0.0
2022-06-12,NA,UnfairAdvantage,OnePage,Domain Display,NA,Campaign,1,0,0.0
2022-06-14,4,UnfairAdvantage,OnePage,Domain Display,NA,Campaign,1,0,0.0
2022-06-22,5,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,1,0,0.0
2022-10-16,2,UnfairAdvantage,OnePage,User ID Display,NA,Campaign,3,0,0.0
2022-04-29,1,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,1,0,0.0
2022-04-18,NA,NA,NA,NA,NA,General traffic,2910,176,186506.999999999
2022-09-05,4,UnfairAdvantage,1099,Domain Display,Single image,Campaign,4,0,4.0
2022-10-21,5,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,58,0,2769.99999999999
2022-09-25,1,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,28,0,0.0
2022-06-03,1,CloserTwins,Faster,Domain Display,NA,Campaign,1,0,0.0
2022-07-21,5,UnfairAdvantage,OnePage,Domain Display,NA,Campaign,1,0,0.0
2022-10-28,4,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,3,0,0.0
2022-07-29,4,CloserTwins,Faceoff,Domain Display,NA,Campaign,1,0,0.0
2022-09-15,5,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,8,0,0.0
